epoch	train_loss	val_loss	train_subclass_acc	val_subclass_acc	train_group_acc	val_group_acc	train_qc_recall	val_qc_recall	train_qc_precision	val_qc_precision	train_qc_f1	val_qc_f1
82	0.73482309	0.74543619	64.14432091	63.29091860	74.54763462	73.07826390	60.66687014	62.14154973	57.04548716	53.93169182	58.80047330	57.74627923
83	0.73080674	0.72576556	64.54763462	65.12985881	74.68933944	76.38138400	60.45322753	54.36241611	57.39224919	62.81283045	58.88298465	58.28291087
84	0.72888919	0.70520246	64.66317855	65.52204985	75.15805537	76.80843647	59.17900198	47.77303234	58.59333686	64.95230195	58.88471321	55.05361223
85	0.73068279	0.71771364	64.45825158	64.77252920	74.92260737	72.97367962	59.66732794	67.63270287	58.08512219	53.56366272	58.86559524	59.78158285
86	0.72526906	0.69929564	64.52583388	66.18441694	74.31872684	75.96304689	61.02548451	60.15863331	56.77978134	59.55904561	58.82612533	59.85733799
87	0.72467665	0.71081593	64.90952692	65.88809482	75.02289078	76.18964616	60.36929651	58.17571690	58.24928219	61.08263933	59.29034434	59.59375000
88	0.72330219	0.70462433	64.55199477	65.94038696	74.61957707	75.98047760	60.90340302	56.89444783	57.16127184	60.98757358	58.97303288	58.86994949
89	0.72237715	0.70572542	64.99454981	65.36517344	75.21255723	73.85393063	59.37738440	64.91763270	58.63030212	55.02973882	59.00147845	59.56613016
90	0.72045308	0.73422720	64.82450403	64.36290744	74.70678003	74.32455987	60.98733405	59.91458206	57.43748204	56.43678161	59.15920361	58.12370524
91	0.71873678	0.71641804	64.76564203	65.36517344	74.62393721	75.78002440	60.11750343	57.41305674	57.19367015	59.95539981	58.61915036	58.65669316
92	0.72215677	0.72524871	64.94440811	64.24089245	74.99236974	74.53372843	60.29299557	57.90115924	58.13713949	57.49772796	59.19544535	57.69873841
93	0.71830766	0.70021888	65.16459560	66.26285515	75.13189448	76.79100575	60.98733405	56.25381330	58.13513710	62.65715257	59.52708993	59.28307346
94	0.71670832	0.72335576	64.94222804	64.58079135	75.34336167	74.63831271	59.97253166	58.72483221	58.90729221	57.84254808	59.43513932	58.28035120
95	0.71600912	0.73906576	65.25615871	64.77252920	75.06213211	75.38783336	61.26964749	58.41976815	58.07478123	59.67591150	59.62945086	59.04115924
96	0.71789566	0.69602465	65.01635056	66.73348440	74.99454981	76.89559003	60.10987334	54.88102502	58.04597701	63.30049261	59.05989954	58.79084967
97	0.71846392	0.70579530	65.28885982	65.60920342	75.38042293	75.07408053	59.45368533	62.23306894	59.20522757	57.88876277	59.32919633	59.98235813
98	0.71646598	0.73144630	65.00545019	64.44134565	75.02507085	74.62088199	61.31542805	58.41976815	58.01328328	57.87246902	59.61866607	58.14483073
99	0.71465750	0.69392912	65.22127752	66.25413979	75.14279486	75.84103190	60.78132153	59.79255644	58.26932924	59.50212508	59.49882362	59.64698722
100	0.71307371	0.72170630	65.32810116	65.21701238	75.23653804	74.81261984	60.33877613	60.79926785	58.44357402	57.83517121	59.37605586	59.28019036
