gauss	poisson	dropout	n_test	slope_rmse	slope_mae	slope_median_ae	slope_mean_bias	slope_mean_post_std	slope_cov50	slope_cov70	slope_cov90	slope_cov95	acceptance_window_rmse	acceptance_window_mae	acceptance_window_median_ae	acceptance_window_mean_bias	acceptance_window_mean_post_std	acceptance_window_cov50	acceptance_window_cov70	acceptance_window_cov90	acceptance_window_cov95	joint_rmse
0.3	0.1	0.0	100	0.782341	0.394534	0.117812	-0.190984	0.291346	0.1200	0.2200	0.3800	0.4800	0.108517	0.079386	0.058901	0.074615	0.223713	0.2200	0.3400	0.5300	0.6200	0.789831
0.3	0.1	0.1	100	0.632110	0.315256	0.114179	-0.117115	0.305490	0.2000	0.2900	0.4200	0.5300	0.137525	0.108485	0.088970	0.102133	0.222536	0.1800	0.2600	0.4000	0.5300	0.646897
0.3	0.1	0.2	100	0.792960	0.451873	0.185511	-0.234119	0.339528	0.2200	0.3400	0.4800	0.5600	0.065140	0.047372	0.033479	0.015534	0.224218	0.4100	0.5800	0.8700	0.9300	0.795631
0.3	0.1	0.3	100	0.946966	0.662705	0.422459	-0.304473	0.584726	0.2100	0.3900	0.6200	0.7100	0.315901	0.272494	0.251180	-0.272422	0.235109	0.0100	0.0100	0.0200	0.0600	0.998267
0.3	0.2	0.0	100	0.834992	0.464950	0.163227	-0.244720	0.339247	0.1400	0.2500	0.3700	0.4700	0.202310	0.165269	0.130491	0.165269	0.217078	0.0500	0.0500	0.2400	0.3000	0.859151
0.3	0.2	0.1	100	0.940488	0.578427	0.241376	-0.313286	0.361333	0.2600	0.3000	0.4200	0.5400	0.216534	0.182558	0.157938	0.181169	0.232632	0.0700	0.1200	0.2200	0.3000	0.965093
0.3	0.2	0.2	100	0.817524	0.553559	0.324019	-0.315374	0.468695	0.2300	0.3500	0.4900	0.6100	0.120726	0.101020	0.090604	0.096761	0.231973	0.1900	0.2800	0.5800	0.7300	0.826390
0.3	0.2	0.3	100	1.051304	0.725365	0.511483	-0.400249	0.572190	0.2300	0.3700	0.6000	0.7100	0.234146	0.197250	0.183000	-0.196196	0.222780	0.0700	0.1200	0.1500	0.1700	1.077063
0.3	0.3	0.0	100	1.124540	0.682437	0.272500	-0.399501	0.333993	0.1400	0.1800	0.2800	0.3600	0.318872	0.274591	0.264519	0.274180	0.239766	0.0300	0.0300	0.0500	0.0700	1.168876
0.3	0.3	0.1	100	1.031441	0.611471	0.190563	-0.396934	0.378305	0.1700	0.2600	0.3900	0.5100	0.366357	0.316524	0.283106	0.316524	0.240272	0.0100	0.0200	0.0500	0.1000	1.094572
0.3	0.3	0.2	100	0.913783	0.583977	0.351574	-0.234355	0.450837	0.2400	0.3500	0.4900	0.5900	0.190380	0.164771	0.144163	0.163983	0.233608	0.0300	0.0600	0.2200	0.2600	0.933404
0.3	0.3	0.3	100	0.969005	0.647422	0.461667	-0.235938	0.606662	0.2600	0.3600	0.6300	0.7500	0.156115	0.125493	0.111756	-0.121508	0.223721	0.1100	0.2600	0.4500	0.6100	0.981500
